  [6] 14500/19277 (75%) loss=3.6394 ppl=38.1 lr=3.86e-05 | 23736 tok/s (avg 23588) ETA 20m44s | GPU 1.9/20.1GB | gtok=681283584
  [6] 14550/19277 (75%) loss=3.2403 ppl=25.5 lr=3.86e-05 | 23735 tok/s (avg 23589) ETA 20m30s | GPU 1.9/20.1GB | gtok=681590784
  [6] 14600/19277 (76%) loss=3.7113 ppl=40.9 lr=3.86e-05 | 23732 tok/s (avg 23589) ETA 20m17s | GPU 1.9/20.1GB | gtok=681897984
  [6] 14650/19277 (76%) loss=3.3117 ppl=27.4 lr=3.85e-05 | 23733 tok/s (avg 23590) ETA 20m04s | GPU 1.9/20.1GB | gtok=682205184
  [6] 14700/19277 (76%) loss=3.1874 ppl=24.2 lr=3.85e-05 | 23737 tok/s (avg 23590) ETA 19m51s | GPU 1.9/20.1GB | gtok=682512384
  [6] 14750/19277 (77%) loss=3.8136 ppl=45.3 lr=3.84e-05 | 23734 tok/s (avg 23591) ETA 19m38s | GPU 1.9/20.1GB | gtok=682819584
  [6] 14800/19277 (77%) loss=3.5458 ppl=34.7 lr=3.84e-05 | 23733 tok/s (avg 23591) ETA 19m25s | GPU 1.9/20.1GB | gtok=683126784
  [6] 14850/19277 (77%) loss=3.4503 ppl=31.5 lr=3.84e-05 | 23730 tok/s (avg 23592) ETA 19m12s | GPU 1.9/20.1GB | gtok=683433984
  [6] 14900/19277 (77%) loss=3.4933 ppl=32.9 lr=3.83e-05 | 23736 tok/s (avg 23592) ETA 18m59s | GPU 1.9/20.1GB | gtok=683741184
  [6] 14950/19277 (78%) loss=3.7479 ppl=42.4 lr=3.83e-05 | 23596 tok/s (avg 23592) ETA 18m46s | GPU 1.9/20.1GB | gtok=684048384
  [6] 15000/19277 (78%) loss=3.4365 ppl=31.1 lr=3.82e-05 | 23739 tok/s (avg 23592) ETA 18m33s | GPU 1.9/20.1GB | gtok=684355584
  [mid-epoch sample @ batch 15000, 684,355,584 tok]
  Prompt: In 1923 , the University of
  Generated: In 1923 , the University of Michigan 's first university was built . The University of Michigan in 1923 is a residential development which can be seen
 as the oldest living college at University College of Michigan . The University of Michigan 's University of Michigan campus consists of a single @-@ floor centra
l business district and one administrative center ( for which the University of Michigan is located ) .


 = = History = =



 = = = Early history : 1882 – 1890 = = =


 Charles L. Douglas
  [6] 15050/19277 (78%) loss=3.5235 ppl=33.9 lr=3.82e-05 | 20464 tok/s (avg 23581) ETA 18m21s | GPU 1.9/20.1GB | gtok=684662784
  [6] 15100/19277 (78%) loss=3.4318 ppl=30.9 lr=3.82e-05 | 23726 tok/s (avg 23581) ETA 18m08s | GPU 1.9/20.1GB | gtok=684969984
  [6] 15150/19277 (79%) loss=3.7985 ppl=44.6 lr=3.81e-05 | 23718 tok/s (avg 23581) ETA 17m55s | GPU 1.9/20.1GB | gtok=685277184
  [6] 15200/19277 (79%) loss=3.7383 ppl=42.0 lr=3.81e-05 | 23728 tok/s (avg 23582) ETA 17m41s | GPU 1.9/20.1GB | gtok=685584384
  [6] 15250/19277 (79%) loss=3.5878 ppl=36.2 lr=3.80e-05 | 23726 tok/s (avg 23582) ETA 17m28s | GPU 1.9/20.1GB | gtok=685891584
  [6] 15300/19277 (79%) loss=4.0816 ppl=59.2 lr=3.80e-05 | 23727 tok/s (avg 23583) ETA 17m15s | GPU 1.9/20.1GB | gtok=686198784
  [6] 15350/19277 (80%) loss=3.8822 ppl=48.5 lr=3.80e-05 | 23727 tok/s (avg 23583) ETA 17m02s | GPU 1.9/20.1GB | gtok=686505984
  [6] 15400/19277 (80%) loss=3.8804 ppl=48.4 lr=3.79e-05 | 23727 tok/s (avg 23584) ETA 16m49s | GPU 1.9/20.1GB | gtok=686813184
  [6] 15450/19277 (80%) loss=3.5059 ppl=33.3 lr=3.79e-05 | 23727 tok/s (avg 23584) ETA 16m36s | GPU 1.9/20.1GB | gtok=687120384
  [6] 15500/19277 (80%) loss=3.2386 ppl=25.5 lr=3.78e-05 | 23729 tok/s (avg 23585) ETA 16m23s | GPU 1.9/20.1GB | gtok=687427584
  [6] 15550/19277 (81%) loss=3.4575 ppl=31.7 lr=3.78e-05 | 23728 tok/s (avg 23585) ETA 16m10s | GPU 1.9/20.1GB | gtok=687734784
  [6] 15600/19277 (81%) loss=3.7357 ppl=41.9 lr=3.78e-05 | 23726 tok/s (avg 23586) ETA 15m57s | GPU 1.9/20.1GB | gtok=688041984
  [6] 15650/19277 (81%) loss=3.7535 ppl=42.7 lr=3.77e-05 | 23726 tok/s (avg 23586) ETA 15m44s | GPU 1.9/20.1GB | gtok=688349184
  [6] 15700/19277 (81%) loss=3.6837 ppl=39.8 lr=3.77e-05 | 23727 tok/s (avg 23586) ETA 15m31s | GPU 1.9/20.1GB | gtok=688656384
  [6] 15750/19277 (82%) loss=3.5721 ppl=35.6 lr=3.76e-05 | 23728 tok/s (avg 23587) ETA 15m18s | GPU 1.9/20.1GB | gtok=688963584
  [6] 15800/19277 (82%) loss=3.4884 ppl=32.7 lr=3.76e-05 | 23728 tok/s (avg 23587) ETA 15m05s | GPU 1.9/20.1GB | gtok=689270784
  [6] 15850/19277 (82%) loss=3.2780 ppl=26.5 lr=3.76e-05 | 23728 tok/s (avg 23588) ETA 14m52s | GPU 1.9/20.1GB | gtok=689577984
  [6] 15900/19277 (82%) loss=3.9976 ppl=54.5 lr=3.75e-05 | 23726 tok/s (avg 23588) ETA 14m39s | GPU 1.9/20.1GB | gtok=689885184
  [6] 15950/19277 (83%) loss=3.3077 ppl=27.3 lr=3.75e-05 | 23729 tok/s (avg 23589) ETA 14m26s | GPU 1.9/20.1GB | gtok=690192384
  [6] 16000/19277 (83%) loss=2.6368 ppl=14.0 lr=3.74e-05 | 23725 tok/s (avg 23589) ETA 14m13s | GPU 1.9/20.1GB | gtok=690499584
  [6] 16050/19277 (83%) loss=3.3767 ppl=29.3 lr=3.74e-05 | 23729 tok/s (avg 23590) ETA 14m00s | GPU 1.9/20.1GB | gtok=690806784
  [6] 16100/19277 (84%) loss=3.8869 ppl=48.8 lr=3.74e-05 | 23728 tok/s (avg 23590) ETA 13m47s | GPU 1.9/20.1GB | gtok=691113984
  [6] 16150/19277 (84%) loss=3.4548 ppl=31.7 lr=3.73e-05 | 23729 tok/s (avg 23590) ETA 13m34s | GPU 1.9/20.1GB | gtok=691421184
  [6] 16200/19277 (84%) loss=3.6261 ppl=37.6 lr=3.73e-05 | 23721 tok/s (avg 23591) ETA 13m21s | GPU 1.9/20.1GB | gtok=691728384
  [6] 16250/19277 (84%) loss=3.6287 ppl=37.7 lr=3.72e-05 | 23723 tok/s (avg 23591) ETA 13m08s | GPU 1.9/20.1GB | gtok=692035584
  [6] 16300/19277 (85%) loss=3.4886 ppl=32.7 lr=3.72e-05 | 23725 tok/s (avg 23592) ETA 12m55s | GPU 1.9/20.1GB | gtok=692342784
  [6] 16350/19277 (85%) loss=3.7498 ppl=42.5 lr=3.72e-05 | 23726 tok/s (avg 23592) ETA 12m42s | GPU 1.9/20.1GB | gtok=692649984
  [6] 16400/19277 (85%) loss=3.5791 ppl=35.8 lr=3.71e-05 | 23728 tok/s (avg 23592) ETA 12m28s | GPU 1.9/20.1GB | gtok=692957184
  [6] 16450/19277 (85%) loss=3.8563 ppl=47.3 lr=3.71e-05 | 23726 tok/s (avg 23593) ETA 12m15s | GPU 1.9/20.1GB | gtok=693264384
  [6] 16500/19277 (86%) loss=3.4207 ppl=30.6 lr=3.70e-05 | 23727 tok/s (avg 23593) ETA 12m02s | GPU 1.9/20.1GB | gtok=693571584
  [6] 16550/19277 (86%) loss=3.5083 ppl=33.4 lr=3.70e-05 | 23725 tok/s (avg 23594) ETA 11m49s | GPU 1.9/20.1GB | gtok=693878784
  [6] 16600/19277 (86%) loss=3.4682 ppl=32.1 lr=3.70e-05 | 23727 tok/s (avg 23594) ETA 11m36s | GPU 1.9/20.1GB | gtok=694185984
  [6] 16650/19277 (86%) loss=3.9758 ppl=53.3 lr=3.69e-05 | 23727 tok/s (avg 23594) ETA 11m23s | GPU 1.9/20.1GB | gtok=694493184
  [6] 16700/19277 (87%) loss=3.6204 ppl=37.4 lr=3.69e-05 | 23726 tok/s (avg 23595) ETA 11m10s | GPU 1.9/20.1GB | gtok=694800384
  [6] 16750/19277 (87%) loss=3.7200 ppl=41.3 lr=3.68e-05 | 23726 tok/s (avg 23595) ETA 10m57s | GPU 1.9/20.1GB | gtok=695107584
  [6] 16800/19277 (87%) loss=3.3015 ppl=27.2 lr=3.68e-05 | 23729 tok/s (avg 23596) ETA 10m44s | GPU 1.9/20.1GB | gtok=695414784
  [6] 16850/19277 (87%) loss=3.6453 ppl=38.3 lr=3.68e-05 | 23728 tok/s (avg 23596) ETA 10m31s | GPU 1.9/20.1GB | gtok=695721984
  [6] 16900/19277 (88%) loss=3.4967 ppl=33.0 lr=3.67e-05 | 23727 tok/s (avg 23596) ETA 10m18s | GPU 1.9/20.1GB | gtok=696029184
  [6] 16950/19277 (88%) loss=3.5892 ppl=36.2 lr=3.67e-05 | 23725 tok/s (avg 23597) ETA 10m05s | GPU 1.9/20.1GB | gtok=696336384
  [6] 17000/19277 (88%) loss=3.8726 ppl=48.1 lr=3.66e-05 | 23726 tok/s (avg 23597) ETA 9m52s | GPU 1.9/20.1GB | gtok=696643584
  [6] 17050/19277 (88%) loss=3.4431 ppl=31.3 lr=3.66e-05 | 23728 tok/s (avg 23597) ETA 9m39s | GPU 1.9/20.1GB | gtok=696950784
  [6] 17100/19277 (89%) loss=3.6013 ppl=36.6 lr=3.66e-05 | 23726 tok/s (avg 23598) ETA 9m26s | GPU 1.9/20.1GB | gtok=697257984
  [6] 17150/19277 (89%) loss=3.5940 ppl=36.4 lr=3.65e-05 | 23727 tok/s (avg 23598) ETA 9m13s | GPU 1.9/20.1GB | gtok=697565184
  [6] 17200/19277 (89%) loss=3.4041 ppl=30.1 lr=3.65e-05 | 23727 tok/s (avg 23599) ETA 9m00s | GPU 1.9/20.1GB | gtok=697872384
  [6] 17250/19277 (89%) loss=3.9829 ppl=53.7 lr=3.65e-05 | 23729 tok/s (avg 23599) ETA 8m47s | GPU 1.9/20.1GB | gtok=698179584
  [6] 17300/19277 (90%) loss=3.8079 ppl=45.1 lr=3.64e-05 | 23728 tok/s (avg 23599) ETA 8m34s | GPU 1.9/20.1GB | gtok=698486784
  [6] 17350/19277 (90%) loss=3.9039 ppl=49.6 lr=3.64e-05 | 23727 tok/s (avg 23600) ETA 8m21s | GPU 1.9/20.1GB | gtok=698793984
  [6] 17400/19277 (90%) loss=3.3280 ppl=27.9 lr=3.63e-05 | 23724 tok/s (avg 23600) ETA 8m08s | GPU 1.9/20.1GB | gtok=699101184
  [6] 17450/19277 (91%) loss=3.2524 ppl=25.9 lr=3.63e-05 | 23730 tok/s (avg 23600) ETA 7m55s | GPU 1.9/20.1GB | gtok=699408384
  [6] 17500/19277 (91%) loss=3.9555 ppl=52.2 lr=3.63e-05 | 23577 tok/s (avg 23600) ETA 7m42s | GPU 1.9/20.1GB | gtok=699715584
  [6] 17550/19277 (91%) loss=3.7461 ppl=42.4 lr=3.62e-05 | 23732 tok/s (avg 23601) ETA 7m29s | GPU 1.9/20.1GB | gtok=700022784
  [6] 17600/19277 (91%) loss=3.7812 ppl=43.9 lr=3.62e-05 | 23732 tok/s (avg 23601) ETA 7m16s | GPU 1.9/20.1GB | gtok=700329984
  [6] 17650/19277 (92%) loss=3.7556 ppl=42.8 lr=3.61e-05 | 23730 tok/s (avg 23601) ETA 7m03s | GPU 1.9/20.1GB | gtok=700637184
  [6] 17700/19277 (92%) loss=3.8283 ppl=46.0 lr=3.61e-05 | 23732 tok/s (avg 23602) ETA 6m50s | GPU 1.9/20.1GB | gtok=700944384
  [6] 17750/19277 (92%) loss=3.3925 ppl=29.7 lr=3.61e-05 | 23735 tok/s (avg 23602) ETA 6m37s | GPU 1.9/20.1GB | gtok=701251584
  [6] 17800/19277 (92%) loss=3.6831 ppl=39.8 lr=3.60e-05 | 23732 tok/s (avg 23603) ETA 6m24s | GPU 1.9/20.1GB | gtok=701558784
