[2026-05-09 07:25:26]   [1] batch 1249/19277 loss=5.9679 ppl=390.7 div=1.86e-02 wdiv=9.32e-04 lr=1.00e-04 | inst 12091 tok/s avg 11292 tok/s |   6.5% eta 2:32:40 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:25:51]   [1] batch 1299/19277 loss=5.8115 ppl=334.1 div=1.84e-02 wdiv=9.20e-04 lr=1.00e-04 | inst 12220 tok/s avg 11325 tok/s |   6.7% eta 2:30:38 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:26:16]   [1] batch 1349/19277 loss=5.8713 ppl=354.7 div=1.90e-02 wdiv=9.52e-04 lr=1.00e-04 | inst 12229 tok/s avg 11357 tok/s |   7.0% eta 2:30:06 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:26:42]   [1] batch 1399/19277 loss=5.8645 ppl=352.3 div=1.83e-02 wdiv=9.16e-04 lr=1.00e-04 | inst 12207 tok/s avg 11385 tok/s |   7.3% eta 2:29:57 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:27:07]   [1] batch 1449/19277 loss=5.8909 ppl=361.7 div=1.76e-02 wdiv=8.80e-04 lr=1.00e-04 | inst 12227 tok/s avg 11412 tok/s |   7.5% eta 2:29:18 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:27:32]   [1] batch 1499/19277 loss=5.7123 ppl=302.6 div=1.80e-02 wdiv=8.99e-04 lr=1.00e-04 | inst 12221 tok/s avg 11437 tok/s |   7.8% eta 2:28:57 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:27:57]   [1] batch 1549/19277 loss=5.7288 ppl=307.6 div=1.76e-02 wdiv=8.82e-04 lr=1.00e-04 | inst 12098 tok/s avg 11457 tok/s |   8.0% eta 2:30:02 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:28:22]   [1] batch 1599/19277 loss=5.8505 ppl=347.4 div=1.91e-02 wdiv=9.57e-04 lr=1.00e-04 | inst 12232 tok/s avg 11480 tok/s |   8.3% eta 2:27:59 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:28:47]   [1] batch 1649/19277 loss=5.9924 ppl=400.4 div=1.79e-02 wdiv=8.95e-04 lr=1.00e-04 | inst 12329 tok/s avg 11504 tok/s |   8.6% eta 2:26:24 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:29:13]   [1] batch 1699/19277 loss=5.7468 ppl=313.2 div=1.85e-02 wdiv=9.25e-04 lr=1.00e-04 | inst 12102 tok/s avg 11521 tok/s |   8.8% eta 2:28:43 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:29:38]   [1] batch 1749/19277 loss=6.1245 ppl=456.9 div=1.86e-02 wdiv=9.30e-04 lr=1.00e-04 | inst 12228 tok/s avg 11540 tok/s |   9.1% eta 2:26:46 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:30:03]   [1] batch 1799/19277 loss=5.8186 ppl=336.5 div=1.91e-02 wdiv=9.55e-04 lr=1.00e-04 | inst 12233 tok/s avg 11558 tok/s |   9.3% eta 2:26:17 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:30:28]   [1] batch 1849/19277 loss=5.6459 ppl=283.1 div=1.83e-02 wdiv=9.15e-04 lr=1.00e-04 | inst 12100 tok/s avg 11572 tok/s |   9.6% eta 2:27:28 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:30:53]   [1] batch 1899/19277 loss=5.7351 ppl=309.6 div=1.73e-02 wdiv=8.64e-04 lr=1.00e-04 | inst 12226 tok/s avg 11588 tok/s |   9.9% eta 2:25:32 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:31:18]   [1] batch 1949/19277 loss=6.0230 ppl=412.8 div=1.82e-02 wdiv=9.11e-04 lr=1.00e-04 | inst 12330 tok/s avg 11606 tok/s |  10.1% eta 2:23:54 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:31:44]   [1] batch 1999/19277 loss=5.7685 ppl=320.1 div=1.75e-02 wdiv=8.76e-04 lr=1.00e-04 | inst 12095 tok/s avg 11618 tok/s |  10.4% eta 2:26:15 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:32:09]   [1] batch 2049/19277 loss=5.6488 ppl=284.0 div=1.84e-02 wdiv=9.19e-04 lr=1.00e-04 | inst 12229 tok/s avg 11632 tok/s |  10.6% eta 2:24:14 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:32:34]   [1] batch 2099/19277 loss=5.5705 ppl=262.6 div=1.82e-02 wdiv=9.12e-04 lr=1.00e-04 | inst 12223 tok/s avg 11646 tok/s |  10.9% eta 2:23:54 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:32:59]   [1] batch 2149/19277 loss=5.7829 ppl=324.7 div=1.83e-02 wdiv=9.13e-04 lr=1.00e-04 | inst 12071 tok/s avg 11655 tok/s |  11.2% eta 2:25:17 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:33:25]   [1] batch 2199/19277 loss=5.8668 ppl=353.1 div=1.74e-02 wdiv=8.72e-04 lr=1.00e-04 | inst 12221 tok/s avg 11667 tok/s |  11.4% eta 2:23:04 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:33:50]   [1] batch 2249/19277 loss=5.5866 ppl=266.8 div=1.83e-02 wdiv=9.15e-04 lr=1.00e-04 | inst 12219 tok/s avg 11679 tok/s |  11.7% eta 2:22:41 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:34:15]   [1] batch 2299/19277 loss=6.0174 ppl=410.5 div=1.80e-02 wdiv=9.02e-04 lr=1.00e-04 | inst 12222 tok/s avg 11690 tok/s |  11.9% eta 2:22:14 | mem 2.1/21.0G peak 21.0G
