[2026-04-15 00:26:26] Wall clock start: 2026-04-15 00:26:26
[2026-04-15 00:26:26] ============================================================
[2026-04-15 00:26:26]   Transformer Baseline (~100M params)
[2026-04-15 00:26:26]   GPT-2-style decoder-only transformer
[2026-04-15 00:26:26]   Same data pipeline as PAM v3 for fair comparison
[2026-04-15 00:26:26] ============================================================
[2026-04-15 00:26:26] Architecture: d_model=136, n_layers=13, n_heads=2, d_ff=544
[2026-04-15 00:26:26] seq_len=512, dropout=0.1, tie_weights=True
[2026-04-15 00:26:26] Training: lr=0.0003, warmup=500, wd=0.01, grad_clip=1.0
[2026-04-15 00:26:26] Batch size: 8, Epochs: 10
[2026-04-15 00:26:26] AMP

Loading WikiText-103 
[2026-04-15 00:26:26] Loadi
/Users/caug/npcww/qnlp/qllm-private/.venv/li[2026-04-15 00:26:28] [cache] Loaded WikiText-103 train from .cache/v6_tokens/wikitext103_train_v2_full_sl512.pt (118,496,145 tokens)
[2026-04-15 00:26:28] [cache] Loaded WikiText-103 validation from .cache/v6_tokens/wikitext103_validation_v2_full_sl512.pt (248,461 tokens)
[2026-04-15 00:26:28] Train chunks: 230986, Val chunks: 484
[2026-04-15 00:26:28] Train batches: 28874, Val batches: 61

[2026-04-15 00:26:28] Model parameters: {'embeddings': 6904584, 'transformer_blocks': 2908360, 'final_ln': 272, 'lm_head': 0, 'total': 9813216}
[2026-04-15 00:26:28] Total: 9,813,216 (9.8M)
[2026-04-15 00:26:28] Param groups: 52 tensors (2,885,376 params) with weight decay, 108 tensors (6,927,840 params) without

[2026-04-15 00:26:28] Training on mps
[2026-04-15 00:26:28] Parameters: {'embeddings': 6904584, 'transformer_blocks': 2908360, 'final_ln': 272, 'lm_head': 0, 'total': 9813216}
[2026-04-15 00:26:28] Total: 9,813,216 (9.8M)
[2026-04-15 00:26:28] Epochs: 1..10, Batches/epoch: 2887



[2026-04-15 00:26:28] =====================================
Epoch 1/10
=============================================[2026-04-15 00:
  [1] 2700/28874 (9%) loss=5.7669 ppl=319.6 lr=3.00e-04 | 8388 tok/s (avg 10212) ETA 174m57s | gtok=11063296
  [1] 2750/28874 (10%) loss=5.9403 ppl=380.1 lr=3.00e-04 | 8356 tok/s (avg 10171) ETA 175m19s | gtok=11268096
  [1] 2800/28874 (10%) loss=6.0665 ppl=431.2 lr=3.00e-04 | 8346 tok/s (avg 10132) ETA 175m40s | gtok=11472896
  [1] 2850/28874 (10%) loss=5.9412 ppl=380.4 lr=3.00e-04 | 8514 tok/s (avg 10098) ETA 175m55s | gtok=11677696
  [1] 2900/28874 (10%) loss=6.0483 ppl=423.4 lr=3.00e-04 | 8497 tok/s (avg 10065) ETA 176m09s | gtok=11882496
  [1] 2950/28874 (10%) loss=5.8638 ppl=352.0 lr=3.00e-04 | 8363 tok/s (avg 10031) ETA 176m25s | gtok=12087296
  [1] 3000/28874 (10%) loss=5.7123 ppl=302.6 lr=3.00e-04 | 8347 tok/s (avg 9997) ETA 176m40s | gtok=12292096
  [1] 3050/28874 (11%) loss=5.8417 ppl=344.4 lr=3.00e-04 | 8412 tok/s (avg 9967) ETA 176m52s | gtok=12496896
  [1] 3100/28874 (11%) loss=5.7014 ppl=299.3 lr=3.00e-04 | 8332 tok/s (avg 9935) ETA 177m05s | gtok=12701696
  [1] 3150/28874 (11%) loss=5.7522 ppl=314.9 lr=3.00e-04 | 8384 tok/s (avg 9906) ETA 177m16s | gtok=12906496
  [1] 3200/28874 (11%) loss=5.8375 ppl=342.9 lr=3.00e-04 | 8438 tok/s (avg 9879) ETA 177m24s | gtok=13111296
  [1] 3250/28874 (11%) loss=5.5191 ppl=249.4 lr=3.00e-04 | 8354 tok/s (avg 9851) ETA 177m33s | gtok=13316096
  [1] 3300/28874 (11%) loss=5.8135 ppl=334.8 lr=3.00e-04 | 8414 tok/s (avg 9826) ETA 177m40s | gtok=13520896
  [1] 3350/28874 (12%) loss=5.6262 ppl=277.6 lr=3.00e-04 | 8384 tok/s (avg 9801) ETA 177m46s | gtok=13725696
  [1] 3400/28874 (12%) loss=5.5748 ppl=263.7 lr=3.00e-04 | 8299 tok/s (avg 9775) ETA 177m54s | gtok=13930496
  [1] 3450/28874 (12%) loss=5.6661 ppl=288.9 lr=3.00e-04 | 8614 tok/s (avg 9756) ETA 177m53s | gtok=14135296
  [1] 3500/28874 (12%) loss=5.4840 ppl=240.8 lr=3.00e-04 | 8196 tok/s (avg 9729) ETA 178m01s | gtok=14340096
  [1] 3550/28874 (12%) loss=5.6982 ppl=298.3 lr=3.00e-04 | 8396 tok/s (avg 9708) ETA 178m04s | gtok=14544896
  [1] 3600/28874 (12%) loss=5.7053 ppl=300.5 lr=3.00e-04 | 8379 tok/s (avg 9686) ETA 178m07s | gtok=14749696
  [1] 3650/28874 (13%) loss=5.7515 ppl=314.7 lr=3.00e-04 | 8266 tok/s (avg 9664) ETA 178m11s | gtok=14954496
  [1] 3700/28874 (13%) loss=5.5563 ppl=258.9 lr=3.00e-04 | 8320 tok/s (avg 9643) ETA 178m13s | gtok=15159296
  [1] 3750/28874 (13%) loss=5.4073 ppl=223.0 lr=3.00e-04 | 8216 tok/s (avg 9620) ETA 178m16s | gtok=15364096
  [1] 3800/28874 (13%) loss=5.6648 ppl=288.5 lr=3.00e-04 | 8290 tok/s (avg 9600) ETA 178m17s | gtok=15568896
  [1] 3850/28874 (13%) loss=5.5755 ppl=263.9 lr=3.00e-04 | 8286 tok/s (avg 9580) ETA 178m18s | gtok=15773696
  [1] 3900/28874 (14%) loss=5.8167 ppl=335.9 lr=3.00e-04 | 8330 tok/s (avg 9562) ETA 178m17s | gtok=15978496
  [1] 3950/28874 (14%) loss=5.5829 ppl=265.8 lr=3.00e-04 | 8475 tok/s (avg 9546) ETA 178m13s | gtok=16183296
  [1] 4000/28874 (14%) loss=5.5419 ppl=255.2 lr=3.00e-04 | 8223 tok/s (avg 9527) ETA 178m13s | gtok=16388096
  [1] 4050/28874 (14%) loss=5.5084 ppl=246.8 lr=3.00e-04 | 8059 tok/s (avg 9506) ETA 178m16s | gtok=16592896
  [1] 4100/28874 (14%) loss=5.6912 ppl=296.3 lr=3.00e-04 | 8279 tok/s (avg 9489) ETA 178m13s | gtok=16797696
  [1] 4150/28874 (14%) loss=5.5520 ppl=257.7 lr=3.00e-04 | 8194 tok/s (avg 9471) ETA 178m12s | gtok=17002496
  [1] 4200/28874 (15%) loss=5.7548 ppl=315.7 lr=3.00e-04 | 8195 tok/s (avg 9453) ETA 178m10s | gtok=17207296
  [1] 4250/28874 (15%) loss=5.6396 ppl=281.3 lr=3.00e-04 | 8305 tok/s (avg 9438) ETA 178m06s | gtok=17412096
  [1] 4300/28874 (15%) loss=5.5228 ppl=250.3 lr=3.00e-04 | 8276 tok/s (avg 9422) ETA 178m02s | gtok=17616896
  [1] 4350/28874 (15%) loss=5.6386 ppl=281.1 lr=3.00e-04 | 8449 tok/s (avg 9410) ETA 177m54s | gtok=17821696
  [1] 4400/28874 (15%) loss=5.7462 ppl=313.0 lr=3.00e-04 | 8304 tok/s (avg 9396) ETA 177m48s | gtok=18026496
  [1] 4450/28874 (15%) loss=5.7900 ppl=327.0 lr=3.00e-04 | 8195 tok/s (avg 9380) ETA 177m44s | gtok=18231296
  [1] 4500/28874 (16%) loss=5.5715 ppl=262.8 lr=3.00e-04 | 8318 tok/s (avg 9367) ETA 177m37s | gtok=18436096
  [1] 4550/28874 (16%) loss=5.8279 ppl=339.6 lr=3.00e-04 | 8278 tok/s (avg 9353) ETA 177m31s | gtok=18640896
  [1] 4600/28874 (16%) loss=5.2971 ppl=199.8 lr=3.00e-04 | 7934 tok/s (avg 9335) ETA 177m30s | gtok=18845696
  [1] 4650/28874 (16%) loss=5.5110 ppl=247.4 lr=3.00e-04 | 6780 tok/s (avg 9298) ETA 177m51s | gtok=19050496
  [1] 4700/28874 (16%) loss=5.2121 ppl=183.5 lr=3.00e-04 | 7903 tok/s (avg 9280) ETA 177m49s | gtok=19255296
  [1] 4750/28874 (16%) loss=5.3438 ppl=209.3 lr=3.00e-04 | 8327 tok/s (avg 9269) ETA 177m39s | gtok=19460096
  [1] 4800/28874 (17%) loss=5.3899 ppl=219.2 lr=3.00e-04 | 8336 tok/s (avg 9258) ETA 177m30s | gtok=19664896
  [1] 4850/28874 (17%) loss=5.5835 ppl=266.0 lr=3.00e-04 | 8143 tok/s (avg 9245) ETA 177m23s | gtok=19869696
  [1] 4900/28874 (17%) loss=5.3952 ppl=220.4 lr=3.00e-04 | 8286 tok/s (avg 9234) ETA 177m13s | gtok=20074496
  [1] 4950/28874 (17%) loss=5.3843 ppl=218.0 lr=3.00e-04 | 8157 tok/s (avg 9222) ETA 177m05s | gtok=20279296
  [1] 5000/28874 (17%) loss=5.3863 ppl=218.4 lr=3.00e-04 | 8140 tok/s (avg 9210) ETA 176m57s | gtok=20484096
  [mid-epoch sample @ batch 5000, 20,484,096 tok]
  Prompt: In 1923 , the University of
  Generated: In 1923 , the University of the National Court . 

 The Council in the Federal Park Commission for the state and public and other buildings . In the world , the National Court of the city was to be a new town of the United States and state of the United States in the city , but the population , the new population had been the largest centre . This state became an independent from the state of the country . The site is also the first most important part of the National Route of West . 


 = = = Background
  [1] 5050/28874 (17%) loss=5.3881 ppl=218.8 lr=3.00e-04 | 4656 tok/s (avg 9121) ETA 178m17s | gtok=20688896
  [1] 5100/28874 (18%) loss=5.3724 ppl=215.4 lr=3.00e-04 | 8311 tok/s (avg 9113) ETA 178m05s | gtok=20893696
