device=cuda preset=baseline dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 100,359,008 (100.36M)
step 227  loss=4.9968  lr=5.00e-05
step 228  loss=4.9238  lr=5.00e-05
step 229  loss=4.9663  lr=5.00e-05
step 230  loss=5.1349  lr=5.00e-05
step 231  loss=5.0130  lr=5.00e-05
step 232  loss=4.8836  lr=5.00e-05
step 233  loss=4.8223  lr=5.00e-05
step 234  loss=4.7026  lr=5.00e-05
step 235  loss=4.8755  lr=5.00e-05
step 236  loss=5.0122  lr=5.00e-05
step 237  loss=4.8871  lr=5.00e-05
step 238  loss=4.9494  lr=5.00e-05
step 239  loss=4.9355  lr=5.00e-05
step 240  loss=4.9412  lr=5.00e-05
step 241  loss=5.0314  lr=5.00e-05
step 242  loss=4.8273  lr=5.00e-05
step 243  loss=4.9429  lr=5.00e-05
step 244  loss=5.0265  lr=5.00e-05
step 245  loss=4.8422  lr=5.00e-05
step 246  loss=4.8875  lr=5.00e-05
step 247  loss=4.7997  lr=5.00e-05
step 248  loss=4.8484  lr=5.00e-05
step 249  loss=4.8574  lr=5.00e-05
step 250  loss=4.9037  lr=5.00e-05
step 251  loss=4.7139  lr=5.00e-05
step 252  loss=4.9967  lr=5.00e-05
step 253  loss=4.7101  lr=5.00e-05
step 254  loss=4.9163  lr=5.00e-05
step 255  loss=4.7652  lr=5.00e-05
step 256  loss=4.7956  lr=5.00e-05
step 257  loss=4.6858  lr=5.00e-05
step 258  loss=4.7627  lr=5.00e-05
step 259  loss=4.7960  lr=5.00e-05
step 260  loss=4.6694  lr=4.99e-05
step 261  loss=5.0084  lr=4.99e-05
step 262  loss=4.7351  lr=4.99e-05
step 263  loss=4.8408  lr=4.99e-05
step 264  loss=4.8628  lr=4.99e-05
step 265  loss=4.5427  lr=4.99e-05
step 266  loss=4.8024  lr=4.99e-05
step 267  loss=4.7424  lr=4.99e-05
step 268  loss=4.8965  lr=4.99e-05
step 269  loss=4.8129  lr=4.99e-05
step 270  loss=4.6266  lr=4.99e-05
step 271  loss=4.9495  lr=4.99e-05
step 272  loss=4.7517  lr=4.99e-05
step 273  loss=4.6695  lr=4.99e-05
step 274  loss=4.5799  lr=4.99e-05
step 275  loss=4.4860  lr=4.99e-05
step 276  loss=4.7545  lr=4.99e-05
step 277  loss=4.7774  lr=4.99e-05
step 278  loss=4.7984  lr=4.99e-05
step 279  loss=4.7356  lr=4.99e-05
step 280  loss=4.7922  lr=4.99e-05
step 281  loss=4.7235  lr=4.99e-05
step 282  loss=4.6477  lr=4.99e-05
step 283  loss=4.5346  lr=4.99e-05
step 284  loss=4.4985  lr=4.99e-05
step 285  loss=4.7823  lr=4.99e-05
step 286  loss=4.6595  lr=4.99e-05
step 287  loss=4.7020  lr=4.99e-05
step 288  loss=4.6559  lr=4.99e-05
step 289  loss=4.7329  lr=4.99e-05
step 290  loss=4.5665  lr=4.99e-05
step 291  loss=4.5933  lr=4.99e-05
step 292  loss=4.5107  lr=4.99e-05
step 293  loss=4.6990  lr=4.99e-05
step 294  loss=4.6586  lr=4.99e-05
step 295  loss=4.6649  lr=4.99e-05
step 296  loss=4.6584  lr=4.99e-05
step 297  loss=4.6343  lr=4.99e-05
step 298  loss=4.6622  lr=4.99e-05
step 299  loss=4.7551  lr=4.99e-05
step 300  loss=4.6682  lr=4.99e-05
step 301  loss=4.5508  lr=4.99e-05
step 302  loss=4.6103  lr=4.99e-05
step 303  loss=4.3408  lr=4.99e-05
step 304  loss=4.6211  lr=4.99e-05
step 305  loss=4.6659  lr=4.99e-05
step 306  loss=4.4681  lr=4.99e-05
step 307  loss=4.3276  lr=4.99e-05
step 308  loss=4.6164  lr=4.99e-05
step 309  loss=4.3874  lr=4.99e-05
step 310  loss=4.7402  lr=4.99e-05
step 311  loss=4.5153  lr=4.99e-05
step 312  loss=4.5307  lr=4.99e-05
step 313  loss=4.5425  lr=4.99e-05
step 314  loss=4.5475  lr=4.99e-05
step 315  loss=4.4133  lr=4.99e-05
step 316  loss=4.4227  lr=4.99e-05
step 317  loss=4.5718  lr=4.99e-05
step 318  loss=4.4553  lr=4.99e-05
step 319  loss=4.5709  lr=4.99e-05
step 320  loss=4.5383  lr=4.99e-05
step 321  loss=4.4704  lr=4.99e-05
step 322  loss=4.7643  lr=4.99e-05
step 323  loss=4.2928  lr=4.99e-05
step 324  loss=4.5608  lr=4.99e-05
step 325  loss=4.6692  lr=4.99e-05
step 326  loss=4.5483  lr=4.99e-05
step 327  loss=4.4792  lr=4.99e-05
step 328  loss=4.4063  lr=4.99e-05
step 329  loss=4.3495  lr=4.99e-05
step 330  loss=4.3415  lr=4.99e-05
step 331  loss=4.4966  lr=4.99e-05
step 332  loss=4.6080  lr=4.99e-05
step 333  loss=4.4160  lr=4.99e-05
step 334  loss=4.5986  lr=4.99e-05
step 335  loss=4.7398  lr=4.99e-05
step 336  loss=4.5502  lr=4.99e-05
step 337  loss=4.5385  lr=4.99e-05
step 338  loss=4.3180  lr=4.99e-05
step 339  loss=4.5231  lr=4.99e-05
step 340  loss=4.5199  lr=4.99e-05
step 341  loss=4.5318  lr=4.99e-05
step 342  loss=4.4740  lr=4.99e-05
step 343  loss=4.5661  lr=4.99e-05
step 344  loss=4.4552  lr=4.99e-05
step 345  loss=4.5221  lr=4.99e-05
step 346  loss=4.2197  lr=4.99e-05
step 347  loss=4.3310  lr=4.99e-05
step 348  loss=4.5327  lr=4.99e-05
step 349  loss=4.3570  lr=4.99e-05
step 350  loss=4.4569  lr=4.99e-05
step 351  loss=4.4858  lr=4.99e-05
step 352  loss=4.2569  lr=4.99e-05
step 353  loss=4.2535  lr=4.99e-05
step 354  loss=4.3997  lr=4.99e-05
step 355  loss=4.4462  lr=4.99e-05
step 356  loss=4.3064  lr=4.99e-05
step 357  loss=4.4151  lr=4.99e-05
step 358  loss=4.3777  lr=4.99e-05
step 359  loss=4.4798  lr=4.99e-05
step 360  loss=4.4531  lr=4.99e-05
step 361  loss=4.4875  lr=4.99e-05
step 362  loss=4.1871  lr=4.99e-05
step 363  loss=4.2848  lr=4.99e-05
step 364  loss=4.1856  lr=4.99e-05
step 365  loss=4.3753  lr=4.99e-05
step 366  loss=4.3403  lr=4.99e-05
step 367  loss=4.4112  lr=4.99e-05
step 368  loss=4.3909  lr=4.99e-05
step 369  loss=4.4715  lr=4.99e-05
step 370  loss=4.3118  lr=4.99e-05
step 371  loss=4.4501  lr=4.99e-05
step 372  loss=4.1634  lr=4.99e-05
step 373  loss=4.6248  lr=4.99e-05
step 374  loss=4.3449  lr=4.99e-05
step 375  loss=4.4741  lr=4.99e-05
step 376  loss=4.3227  lr=4.98e-05
step 377  loss=4.2983  lr=4.98e-05
step 378  loss=4.5786  lr=4.98e-05
step 379  loss=4.4496  lr=4.98e-05
step 380  loss=4.2796  lr=4.98e-05
step 381  loss=4.4182  lr=4.98e-05
step 382  loss=4.1566  lr=4.98e-05
step 383  loss=4.2909  lr=4.98e-05
step 384  loss=4.1693  lr=4.98e-05
step 385  loss=4.4201  lr=4.98e-05
step 386  loss=4.1474  lr=4.98e-05
step 387  loss=4.5111  lr=4.98e-05
step 388  loss=4.2769  lr=4.98e-05
step 389  loss=4.2662  lr=4.98e-05
step 390  loss=4.2262  lr=4.98e-05
step 391  loss=4.2003  lr=4.98e-05
step 392  loss=4.1030  lr=4.98e-05
step 393  loss=4.2939  lr=4.98e-05
step 394  loss=4.3406  lr=4.98e-05
step 395  loss=4.4177  lr=4.98e-05
step 396  loss=4.3483  lr=4.98e-05
step 397  loss=4.2963  lr=4.98e-05
step 398  loss=4.1775  lr=4.98e-05
step 399  loss=4.2357  lr=4.98e-05
step 400  loss=4.3376  lr=4.98e-05
step 401  loss=4.3249  lr=4.98e-05
step 402  loss=4.4475  lr=4.98e-05
step 403  loss=4.1068  lr=4.98e-05
step 404  loss=4.2265  lr=4.98e-05
step 405  loss=4.2484  lr=4.98e-05
step 406  loss=4.2226  lr=4.98e-05
step 407  loss=4.2814  lr=4.98e-05
step 408  loss=4.3036  lr=4.98e-05
step 409  loss=4.2222  lr=4.98e-05
step 410  loss=4.2977  lr=4.98e-05
step 411  loss=4.2597  lr=4.98e-05
step 412  loss=4.1044  lr=4.98e-05
step 413  loss=4.2635  lr=4.98e-05
step 414  loss=4.2527  lr=4.98e-05
step 415  loss=4.1232  lr=4.98e-05
step 416  loss=4.2689  lr=4.98e-05
step 417  loss=4.3719  lr=4.98e-05
step 418  loss=4.3799  lr=4.98e-05
step 419  loss=4.0849  lr=4.98e-05
step 420  loss=4.3657  lr=4.98e-05
step 421  loss=4.1804  lr=4.98e-05
step 422  loss=4.1708  lr=4.98e-05
step 423  loss=4.2057  lr=4.98e-05
step 424  loss=4.2491  lr=4.98e-05
step 425  loss=4.1760  lr=4.98e-05
step 426  loss=4.0748  lr=4.98e-05
step 427  loss=4.1579  lr=4.98e-05
step 428  loss=4.2327  lr=4.98e-05
step 429  loss=4.2924  lr=4.98e-05
step 430  loss=4.2557  lr=4.98e-05
step 431  loss=4.6097  lr=4.98e-05
step 432  loss=4.3647  lr=4.98e-05
step 433  loss=4.1581  lr=4.98e-05
step 434  loss=4.1252  lr=4.98e-05
step 435  loss=4.3962  lr=4.98e-05
step 436  loss=4.0757  lr=4.98e-05
step 437  loss=4.3022  lr=4.98e-05
step 438  loss=4.3157  lr=4.98e-05
step 439  loss=4.0613  lr=4.98e-05
step 440  loss=4.2888  lr=4.98e-05
step 441  loss=4.0414  lr=4.98e-05
step 442  loss=4.3614  lr=4.98e-05
step 443  loss=4.1661  lr=4.98e-05
step 444  loss=4.1745  lr=4.98e-05
step 445  loss=4.0861  lr=4.98e-05
step 446  loss=4.3426  lr=4.98e-05
step 447  loss=4.0712  lr=4.98e-05
step 448  loss=4.3083  lr=4.98e-05
step 449  loss=4.1363  lr=4.98e-05
step 450  loss=4.1863  lr=4.98e-05
step 451  loss=4.3387  lr=4.98e-05
step 452  loss=4.2220  lr=4.98e-05
step 453  loss=4.2822  lr=4.98e-05
step 454  loss=4.1453  lr=4.98e-05
step 455  loss=3.9768  lr=4.98e-05
step 456  loss=4.1405  lr=4.97e-05
step 457  loss=4.4992  lr=4.97e-05
step 458  loss=4.1020  lr=4.97e-05
step 459  loss=4.1272  lr=4.97e-05
step 460  loss=4.2869  lr=4.97e-05
step 461  loss=4.3960  lr=4.97e-05
step 462  loss=4.1162  lr=4.97e-05
step 463  loss=4.0704  lr=4.97e-05
step 464  loss=4.3362  lr=4.97e-05
step 465  loss=4.0249  lr=4.97e-05
step 466  loss=4.0906  lr=4.97e-05
step 467  loss=4.2546  lr=4.97e-05
step 468  loss=4.4070  lr=4.97e-05
step 469  loss=4.1016  lr=4.97e-05
step 470  loss=4.1302  lr=4.97e-05
step 471  loss=4.2147  lr=4.97e-05
step 472  loss=4.2607  lr=4.97e-05
step 473  loss=4.2489  lr=4.97e-05
step 474  loss=4.2192  lr=4.97e-05
step 475  loss=4.1777  lr=4.97e-05
step 476  loss=4.2319  lr=4.97e-05
step 477  loss=4.1457  lr=4.97e-05
step 478  loss=4.1968  lr=4.97e-05
step 479  loss=4.1420  lr=4.97e-05
step 480  loss=4.1408  lr=4.97e-05
step 481  loss=4.1126  lr=4.97e-05
step 482  loss=4.2487  lr=4.97e-05
step 483  loss=4.0114  lr=4.97e-05
step 484  loss=4.3170  lr=4.97e-05
step 485  loss=4.2263  lr=4.97e-05
step 486  loss=4.2990  lr=4.97e-05
step 487  loss=4.1390  lr=4.97e-05
step 488  loss=4.1526  lr=4.97e-05
step 489  loss=4.2870  lr=4.97e-05
step 490  loss=4.2248  lr=4.97e-05
step 491  loss=4.1629  lr=4.97e-05
step 492  loss=4.0089  lr=4.97e-05
step 493  loss=4.2004  lr=4.97e-05
step 494  loss=4.2135  lr=4.97e-05
step 495  loss=4.0427  lr=4.97e-05
step 496  loss=4.2130  lr=4.97e-05
step 497  loss=4.0295  lr=4.97e-05
step 498  loss=4.0647  lr=4.97e-05
step 499  loss=4.0802  lr=4.97e-05
step 500  loss=4.1241  lr=4.97e-05
step 501  loss=4.2529  lr=4.97e-05
step 502  loss=4.1002  lr=4.97e-05
step 503  loss=4.1529  lr=4.97e-05
step 504  loss=4.1775  lr=4.97e-05
step 505  loss=4.1124  lr=4.97e-05
step 506  loss=4.1863  lr=4.97e-05
step 507  loss=4.3643  lr=4.97e-05
step 508  loss=4.0206  lr=4.97e-05
step 509  loss=4.1617  lr=4.97e-05
step 510  loss=4.3383  lr=4.97e-05
step 511  loss=4.0454  lr=4.97e-05
step 512  loss=3.9771  lr=4.97e-05
step 513  loss=3.9002  lr=4.97e-05
step 514  loss=3.8405  lr=4.97e-05
step 515  loss=4.0853  lr=4.97e-05
step 516  loss=4.4671  lr=4.97e-05
step 517  loss=3.9667  lr=4.97e-05
step 518  loss=4.1444  lr=4.97e-05
step 519  loss=4.1267  lr=4.97e-05
step 520  loss=4.0971  lr=4.97e-05
step 521  loss=4.0050  lr=4.97e-05
step 522  loss=3.9747  lr=4.96e-05
step 523  loss=3.9458  lr=4.96e-05
step 524  loss=3.8871  lr=4.96e-05
step 525  loss=4.0627  lr=4.96e-05
step 526  loss=4.1421  lr=4.96e-05
step 527  loss=4.0562  lr=4.96e-05
step 528  loss=3.8635  lr=4.96e-05
step 529  loss=4.0215  lr=4.96e-05
step 530  loss=4.1117  lr=4.96e-05
step 531  loss=3.9196  lr=4.96e-05
step 532  loss=3.9193  lr=4.96e-05
step 533  loss=4.2159  lr=4.96e-05
step 534  loss=3.7379  lr=4.96e-05
step 535  loss=4.0447  lr=4.96e-05
step 536  loss=3.8463  lr=4.96e-05
step 537  loss=4.2131  lr=4.96e-05
step 538  loss=4.2483  lr=4.96e-05
step 539  loss=4.0163  lr=4.96e-05
step 540  loss=4.0213  lr=4.96e-05
step 541  loss=4.0130  lr=4.96e-05
step 542  loss=3.9301  lr=4.96e-05
step 543  loss=4.3476  lr=4.96e-05
step 544  loss=4.0851  lr=4.96e-05
step 545  loss=4.0532  lr=4.96e-05
step 546  loss=4.1016  lr=4.96e-05
step 547  loss=3.7014  lr=4.96e-05
step 548  loss=4.0748  lr=4.96e-05
step 549  loss=4.1804  lr=4.96e-05
step 550  loss=3.9564  lr=4.96e-05
step 551  loss=3.8022  lr=4.96e-05
step 552  loss=3.8766  lr=4.96e-05
step 553  loss=4.1716  lr=4.96e-05
step 554  loss=3.7508  lr=4.96e-05
step 555  loss=4.0388  lr=4.96e-05
step 556  loss=4.2346  lr=4.96e-05
step 557  loss=3.8720  lr=4.96e-05
step 558  loss=4.1047  lr=4.96e-05
step 559  loss=4.2664  lr=4.96e-05
step 560  loss=4.1025  lr=4.96e-05
step 561  loss=3.8527  lr=4.96e-05
step 562  loss=4.1417  lr=4.96e-05
step 563  loss=4.1960  lr=4.96e-05
step 564  loss=3.7772  lr=4.96e-05
step 565  loss=4.2481  lr=4.96e-05
step 566  loss=3.7592  lr=4.96e-05
step 567  loss=4.0003  lr=4.96e-05
step 568  loss=4.1809  lr=4.96e-05
step 569  loss=3.9144  lr=4.96e-05
step 570  loss=4.0360  lr=4.96e-05
step 571  loss=3.9284  lr=4.96e-05
step 572  loss=3.7832  lr=4.96e-05
step 573  loss=3.9045  lr=4.96e-05
step 574  loss=3.9226  lr=4.96e-05
step 575  loss=4.1758  lr=4.96e-05
step 576  loss=3.7841  lr=4.96e-05
step 577  loss=3.8166  lr=4.96e-05
step 578  loss=4.2592  lr=4.95e-05
step 579  loss=3.9700  lr=4.95e-05
step 580  loss=3.9531  lr=4.95e-05
step 581  loss=4.2597  lr=4.95e-05
step 582  loss=4.1829  lr=4.95e-05
step 583  loss=3.8449  lr=4.95e-05
step 584  loss=3.9015  lr=4.95e-05
step 585  loss=3.9363  lr=4.95e-05
step 586  loss=4.2604  lr=4.95e-05
step 587  loss=3.9586  lr=4.95e-05
step 588  loss=4.0603  lr=4.95e-05
step 589  loss=3.9822  lr=4.95e-05
step 590  loss=4.1109  lr=4.95e-05
step 591  loss=4.0662  lr=4.95e-05
step 592  loss=3.9789  lr=4.95e-05
step 593  loss=4.0157  lr=4.95e-05
step 594  loss=3.8817  lr=4.95e-05
step 595  loss=4.1005  lr=4.95e-05
step 596  loss=3.8337  lr=4.95e-05
step 597  loss=3.9367  lr=4.95e-05
step 598  loss=4.1054  lr=4.95e-05
step 599  loss=3.9261  lr=4.95e-05
step 600  loss=4.1346  lr=4.95e-05
step 601  loss=4.0440  lr=4.95e-05
step 602  loss=3.8649  lr=4.95e-05
step 603  loss=3.9752  lr=4.95e-05
step 604  loss=4.0245  lr=4.95e-05
step 605  loss=3.9537  lr=4.95e-05
step 606  loss=3.8268  lr=4.95e-05
step 607  loss=4.1484  lr=4.95e-05
step 608  loss=4.1034  lr=4.95e-05
step 609  loss=3.8963  lr=4.95e-05
step 610  loss=3.8283  lr=4.95e-05
step 611  loss=3.9193  lr=4.95e-05
