device=cuda preset=baseline_real dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 161,972,192 (161.97M)
step 203  loss=4.3813  lr=5.00e-05
step 204  loss=4.4043  lr=5.00e-05
step 205  loss=4.4023  lr=5.00e-05
step 206  loss=4.4573  lr=5.00e-05
step 207  loss=4.3580  lr=5.00e-05
step 208  loss=4.4526  lr=5.00e-05
step 209  loss=4.4184  lr=5.00e-05
step 210  loss=4.4574  lr=5.00e-05
step 211  loss=4.3757  lr=5.00e-05
step 212  loss=4.6160  lr=5.00e-05
step 213  loss=4.3523  lr=5.00e-05
step 214  loss=4.6742  lr=5.00e-05
step 215  loss=4.7357  lr=5.00e-05
step 216  loss=4.1312  lr=5.00e-05
step 217  loss=4.4116  lr=5.00e-05
step 218  loss=4.3179  lr=5.00e-05
step 219  loss=4.1222  lr=5.00e-05
step 220  loss=4.2801  lr=5.00e-05
step 221  loss=4.3120  lr=5.00e-05
step 222  loss=4.5965  lr=5.00e-05
step 223  loss=4.2521  lr=5.00e-05
step 224  loss=4.4045  lr=5.00e-05
step 225  loss=4.3361  lr=5.00e-05
step 226  loss=4.3437  lr=5.00e-05
step 227  loss=4.4337  lr=5.00e-05
step 228  loss=4.2668  lr=5.00e-05
step 229  loss=4.4085  lr=5.00e-05
step 230  loss=4.3008  lr=5.00e-05
step 231  loss=4.2832  lr=5.00e-05
step 232  loss=4.4624  lr=5.00e-05
step 233  loss=4.2816  lr=5.00e-05
step 234  loss=4.5035  lr=5.00e-05
step 235  loss=4.3265  lr=5.00e-05
step 236  loss=4.3863  lr=5.00e-05
step 237  loss=4.1989  lr=5.00e-05
step 238  loss=4.4545  lr=5.00e-05
step 239  loss=4.4430  lr=5.00e-05
step 240  loss=4.3705  lr=5.00e-05
step 241  loss=4.1384  lr=5.00e-05
step 242  loss=4.2782  lr=5.00e-05
step 243  loss=4.0870  lr=5.00e-05
step 244  loss=4.2310  lr=5.00e-05
step 245  loss=4.2151  lr=5.00e-05
step 246  loss=4.2090  lr=5.00e-05
step 247  loss=4.1406  lr=5.00e-05
step 248  loss=4.3040  lr=5.00e-05
step 249  loss=4.2246  lr=5.00e-05
step 250  loss=4.2983  lr=5.00e-05
step 251  loss=4.4835  lr=5.00e-05
step 252  loss=4.2970  lr=5.00e-05
step 253  loss=4.2175  lr=5.00e-05
step 254  loss=4.3896  lr=5.00e-05
step 255  loss=4.2278  lr=5.00e-05
step 256  loss=4.2546  lr=5.00e-05
step 257  loss=4.1906  lr=5.00e-05
step 258  loss=4.4749  lr=5.00e-05
step 259  loss=4.4966  lr=5.00e-05
step 260  loss=4.1958  lr=4.99e-05
step 261  loss=4.2049  lr=4.99e-05
step 262  loss=4.0769  lr=4.99e-05
step 263  loss=3.8920  lr=4.99e-05
step 264  loss=3.9606  lr=4.99e-05
step 265  loss=4.1261  lr=4.99e-05
step 266  loss=4.0145  lr=4.99e-05
step 267  loss=3.9385  lr=4.99e-05
step 268  loss=4.3333  lr=4.99e-05
step 269  loss=4.3261  lr=4.99e-05
step 270  loss=4.3155  lr=4.99e-05
step 271  loss=3.9505  lr=4.99e-05
step 272  loss=4.1639  lr=4.99e-05
step 273  loss=4.0474  lr=4.99e-05
step 274  loss=4.2784  lr=4.99e-05
step 275  loss=4.2929  lr=4.99e-05
step 276  loss=4.2688  lr=4.99e-05
step 277  loss=4.3439  lr=4.99e-05
step 278  loss=4.0896  lr=4.99e-05
step 279  loss=4.1937  lr=4.99e-05
step 280  loss=4.0738  lr=4.99e-05
step 281  loss=3.9248  lr=4.99e-05
step 282  loss=4.0693  lr=4.99e-05
step 283  loss=4.1549  lr=4.99e-05
step 284  loss=4.0594  lr=4.99e-05
step 285  loss=4.1554  lr=4.99e-05
step 286  loss=3.9486  lr=4.99e-05
step 287  loss=4.0177  lr=4.99e-05
step 288  loss=3.8372  lr=4.99e-05
step 289  loss=3.9385  lr=4.99e-05
step 290  loss=4.1189  lr=4.99e-05
step 291  loss=4.1659  lr=4.99e-05
step 292  loss=4.2141  lr=4.99e-05
step 293  loss=3.9933  lr=4.99e-05
step 294  loss=4.1795  lr=4.99e-05
step 295  loss=4.0619  lr=4.99e-05
step 296  loss=4.1865  lr=4.99e-05
step 297  loss=4.1237  lr=4.99e-05
step 298  loss=3.7842  lr=4.99e-05
step 299  loss=4.0621  lr=4.99e-05
step 300  loss=4.0380  lr=4.99e-05
step 301  loss=3.9064  lr=4.99e-05
step 302  loss=3.7681  lr=4.99e-05
step 303  loss=3.8792  lr=4.99e-05
step 304  loss=4.1279  lr=4.99e-05
step 305  loss=3.9534  lr=4.99e-05
step 306  loss=4.1811  lr=4.99e-05
step 307  loss=4.0711  lr=4.99e-05
step 308  loss=4.0879  lr=4.99e-05
step 309  loss=4.3512  lr=4.99e-05
step 310  loss=3.8895  lr=4.99e-05
step 311  loss=3.7453  lr=4.99e-05
step 312  loss=4.3378  lr=4.99e-05
step 313  loss=3.9796  lr=4.99e-05
step 314  loss=3.9992  lr=4.99e-05
step 315  loss=4.1443  lr=4.99e-05
step 316  loss=3.9959  lr=4.99e-05
step 317  loss=3.7758  lr=4.99e-05
step 318  loss=3.8921  lr=4.99e-05
step 319  loss=3.8693  lr=4.99e-05
step 320  loss=4.0046  lr=4.99e-05
step 321  loss=4.1686  lr=4.99e-05
step 322  loss=3.9000  lr=4.99e-05
step 323  loss=3.9998  lr=4.99e-05
step 324  loss=3.9878  lr=4.99e-05
step 325  loss=3.9308  lr=4.99e-05
step 326  loss=3.9739  lr=4.99e-05
step 327  loss=3.8845  lr=4.99e-05
step 328  loss=3.7190  lr=4.99e-05
step 329  loss=3.9719  lr=4.99e-05
step 330  loss=3.9603  lr=4.99e-05
step 331  loss=3.9187  lr=4.99e-05
step 332  loss=3.7962  lr=4.99e-05
step 333  loss=3.8821  lr=4.99e-05
step 334  loss=3.7576  lr=4.99e-05
step 335  loss=3.8513  lr=4.99e-05
step 336  loss=3.9409  lr=4.99e-05
step 337  loss=3.9115  lr=4.99e-05
step 338  loss=4.0978  lr=4.99e-05
step 339  loss=3.9655  lr=4.99e-05
step 340  loss=3.8351  lr=4.99e-05
step 341  loss=4.0224  lr=4.99e-05
step 342  loss=3.9100  lr=4.99e-05
step 343  loss=3.9521  lr=4.99e-05
step 344  loss=3.8812  lr=4.99e-05
step 345  loss=3.9569  lr=4.99e-05
step 346  loss=4.0619  lr=4.99e-05
step 347  loss=3.7842  lr=4.99e-05
step 348  loss=3.8591  lr=4.99e-05
step 349  loss=3.6864  lr=4.99e-05
step 350  loss=3.7209  lr=4.99e-05
step 351  loss=3.7839  lr=4.99e-05
step 352  loss=3.7524  lr=4.99e-05
step 353  loss=3.7856  lr=4.99e-05
step 354  loss=3.7402  lr=4.99e-05
step 355  loss=3.8083  lr=4.99e-05
step 356  loss=3.8024  lr=4.99e-05
step 357  loss=4.1436  lr=4.99e-05
step 358  loss=3.9304  lr=4.99e-05
step 359  loss=3.7484  lr=4.99e-05
step 360  loss=3.8438  lr=4.99e-05
step 361  loss=3.7592  lr=4.99e-05
step 362  loss=3.7774  lr=4.99e-05
step 363  loss=4.0181  lr=4.99e-05
step 364  loss=3.9743  lr=4.99e-05
step 365  loss=3.9317  lr=4.99e-05
step 366  loss=4.1513  lr=4.99e-05
step 367  loss=3.9071  lr=4.99e-05
step 368  loss=3.9363  lr=4.99e-05
step 369  loss=4.1070  lr=4.99e-05
step 370  loss=3.9771  lr=4.99e-05
step 371  loss=3.7412  lr=4.99e-05
step 372  loss=3.9785  lr=4.99e-05
step 373  loss=3.7934  lr=4.99e-05
step 374  loss=3.7486  lr=4.99e-05
step 375  loss=3.8017  lr=4.99e-05
